model,source,input_price,output_price,total_params_b,active_params_b,context_length,release_year,has_vision,is_specialty
Mistral: Mistral Small 3,openrouter,0.05,0.08,22.0,22.0,32768,2025,0,0
WizardLM-2 8x22B,openrouter,0.62,0.62,22.0,22.0,65536,2024,0,1
Mistral: Voxtral Small 24B 2507,openrouter,0.1,0.3,24.0,24.0,32000,2025,0,0
Qwen: Qwen3.6 27B,openrouter,0.29,3.2,27.0,27.0,262144,2026,1,0
Qwen: Qwen3.5-27B,openrouter,0.195,1.56,27.0,27.0,262144,2026,1,0
Google: Gemma 3 27B,openrouter,0.08,0.16,27.0,27.0,131072,2025,1,0
Google: Gemma 2 27B,openrouter,0.65,0.65,27.0,27.0,8192,2024,0,0
Google: Gemma 4 31B,openrouter,0.12,0.37,31.0,31.0,262144,2026,1,0
Qwen3 32B 131k,groq,0.29,0.59,32.0,32.0,134144,2025,0,0
AllenAI: Olmo 3 32B Think,openrouter,0.15,0.5,32.0,32.0,65536,2025,0,0
Qwen: Qwen3 VL 32B Instruct,openrouter,0.104,0.416,32.0,32.0,262144,2025,1,0
Qwen: Qwen3 32B,openrouter,0.08,0.28,32.0,32.0,131072,2025,0,0
DeepSeek: R1 Distill Qwen 32B,openrouter,0.29,0.29,32.0,32.0,128000,2025,0,0
Qwen2.5 Coder 32B Instruct,openrouter,0.66,1.0,32.0,32.0,128000,2024,0,0
Cohere: Command R (08-2024),openrouter,0.15,0.6,35.0,35.0,128000,2024,0,0
DeepSeek: DeepSeek V4 Pro,openrouter,0.435,0.87,671.0,37.0,1048576,2026,0,0
DeepSeek: DeepSeek V4 Flash,openrouter,0.0983,0.1966,671.0,37.0,1048576,2026,0,0
Nex AGI: DeepSeek V3.1 Nex N1,openrouter,0.135,0.5,671.0,37.0,131072,2025,0,0
DeepSeek: DeepSeek V3.2,openrouter,0.252,0.378,671.0,37.0,131072,2025,0,0
DeepSeek: DeepSeek V3.2 Exp,openrouter,0.27,0.41,671.0,37.0,163840,2025,0,0
DeepSeek: DeepSeek V3.1 Terminus,openrouter,0.27,0.95,671.0,37.0,163840,2025,0,0
Mistral: Mixtral 8x22B Instruct,openrouter,2.0,6.0,141.0,39.0,65536,2024,0,0
NVIDIA: Llama 3.3 Nemotron Super 49B V1.5,openrouter,0.1,0.4,49.0,49.0,131072,2025,0,0
Llama 3.3 70B Versatile 128k,groq,0.59,0.79,70.0,70.0,131072,2024,0,0
Nous: Hermes 4 70B,openrouter,0.13,0.4,70.0,70.0,131072,2025,0,0
DeepSeek: R1 Distill Llama 70B,openrouter,0.7,0.8,70.0,70.0,131072,2025,0,0
Meta: Llama 3.3 70B Instruct,openrouter,0.1,0.32,70.0,70.0,131072,2024,0,0
Nous: Hermes 3 70B Instruct,openrouter,0.3,0.3,70.0,70.0,131072,2024,0,0
Meta: Llama 3.1 70B Instruct,openrouter,0.4,0.4,70.0,70.0,131072,2024,0,0
Meta: Llama 3 70B Instruct,openrouter,0.51,0.74,70.0,70.0,8192,2024,0,0
Qwen: Qwen2.5 VL 72B Instruct,openrouter,0.25,0.75,72.0,72.0,131072,2025,1,0
Qwen2.5 72B Instruct,openrouter,0.36,0.4,72.0,72.0,131072,2024,0,0
Cohere: Command R+ (08-2024),openrouter,2.5,10.0,104.0,104.0,128000,2024,0,0
Mistral: Mistral Large 3 2512,openrouter,0.5,1.5,123.0,123.0,262144,2025,1,0
Mistral Large 2411,openrouter,2.0,6.0,123.0,123.0,131072,2024,0,0
Mistral Large 2407,openrouter,2.0,6.0,123.0,123.0,131072,2024,0,0
Mistral Large,openrouter,2.0,6.0,123.0,123.0,128000,2024,0,0
Mistral: Pixtral Large 2411,openrouter,2.0,6.0,124.0,124.0,131072,2024,1,0
Nous: Hermes 4 405B,openrouter,1.0,3.0,405.0,405.0,131072,2025,0,0
Nous: Hermes 3 405B Instruct,openrouter,1.0,1.0,405.0,405.0,131072,2024,0,0
